467.9	4.167	2.235
469.6	4.177	2.242
471.4	4.188	2.248
473.2	4.199	2.254
475	4.21	2.261
476.9	4.222	2.267
478.7	4.235	2.274
480.6	4.248	2.28
482.4	4.261	2.287
484.3	4.276	2.294
486.2	4.29	2.3
488.1	4.306	2.307
490.1	4.322	2.314
492	4.339	2.322
494	4.357	2.329
495.9	4.376	2.337
497.9	4.395	2.345
499.9	4.416	2.353
502	4.439	2.361
504	4.463	2.369
506.1	4.488	2.378
508.1	4.516	2.386
510.2	4.546	2.394
512.3	4.578	2.4
514.5	4.613	2.406
516.6	4.65	2.41
518.8	4.69	2.411
520.9	4.731	2.41
523.1	4.775	2.405
525.4	4.82	2.397
527.6	4.865	2.385
529.8	4.91	2.368
532.1	4.953	2.348
534.4	4.996	2.323
536.7	5.035	2.296
539.1	5.072	2.265
541.4	5.105	2.233
543.8	5.134	2.2
546.2	5.16	2.167
548.6	5.183	2.134
551	5.202	2.104
553.5	5.219	2.076
556	5.236	2.051
558.5	5.252	2.031
561	5.27	2.014
563.6	5.292	2
566.1	5.319	1.989
568.7	5.353	1.979
571.4	5.396	1.966
574	5.446	1.948
576.7	5.504	1.92
579.4	5.564	1.88
582.1	5.625	1.826
584.8	5.68	1.759
587.6	5.725	1.681
590.4	5.758	1.595
593.2	5.778	1.505
596.1	5.785	1.416
599	5.78	1.329
601.9	5.766	1.249
604.8	5.745	1.175
607.8	5.719	1.108
610.8	5.69	1.047
613.8	5.66	0.9913
616.8	5.628	0.9408
619.9	5.596	0.8947
623	5.564	0.8524
626.2	5.532	0.8137
629.4	5.5	0.778
632.6	5.468	0.7453
635.8	5.437	0.7151
639.1	5.407	0.6874
642.4	5.377	0.6618
645.8	5.348	0.6382
649.1	5.319	0.6164
652.5	5.292	0.5961
656	5.265	0.5774
659.5	5.239	0.5599
663	5.214	0.5435
666.6	5.19	0.5282
670.2	5.167	0.5137
673.8	5.144	0.5001
677.5	5.122	0.4871
681.2	5.101	0.4748
685	5.081	0.463
688.8	5.061	0.4517
692.6	5.041	0.4409
696.5	5.022	0.4305
700.5	5.004	0.4204
704.5	4.986	0.4108
708.5	4.969	0.4015
712.6	4.951	0.3925
716.7	4.935	0.3838
720.8	4.918	0.3755
725.1	4.902	0.3674
729.3	4.887	0.3597
733.6	4.871	0.3522
738	4.856	0.3449
742.4	4.841	0.338
746.9	4.827	0.3313
751.4	4.812	0.3248
756	4.798	0.3186
760.6	4.785	0.3126
765.3	4.771	0.3068
770.1	4.758	0.3012
774.9	4.745	0.2958
779.8	4.733	0.2906
784.7	4.721	0.2855
789.7	4.708	0.2807
794.8	4.697	0.276
799.9	4.685	0.2714
805.1	4.674	0.267
810.4	4.663	0.2628
815.7	4.652	0.2587
821.1	4.641	0.2547
826.6	4.631	0.2508
832.1	4.621	0.247
837.7	4.611	0.2433
843.4	4.601	0.2397
849.2	4.591	0.2362
855.1	4.582	0.2328
861	4.573	0.2295
867	4.564	0.2262
873.1	4.555	0.223
879.3	4.546	0.2199
885.6	4.538	0.2168
892	4.53	0.2137
898.4	4.522	0.2108
905	4.514	0.2078
911.6	4.506	0.2049
918.4	4.499	0.202
925.3	4.492	0.1991
932.2	4.484	0.1963
939.3	4.477	0.1935
946.4	4.47	0.1907
953.7	4.464	0.188
961.1	4.457	0.1852
968.6	4.45	0.1825
